Series ID,Year,Period,Value
LNU03000000,1948,M01,2351
LNU03000000,1948,M02,2807
LNU03000000,1948,M03,2646
LNU03000000,1948,M04,2407
LNU03000000,1948,M05,2014
LNU03000000,1948,M06,2408
LNU03000000,1948,M07,2411
LNU03000000,1948,M08,2238
LNU03000000,1948,M09,2061
LNU03000000,1948,M10,1747
LNU03000000,1948,M11,2033
LNU03000000,1948,M12,2205
LNU03000000,1949,M01,2995
LNU03000000,1949,M02,3474
LNU03000000,1949,M03,3383
LNU03000000,1949,M04,3277
LNU03000000,1949,M05,3516
LNU03000000,1949,M06,3966
LNU03000000,1949,M07,4388
LNU03000000,1949,M08,3956
LNU03000000,1949,M09,3635
LNU03000000,1949,M10,3788
LNU03000000,1949,M11,3570
LNU03000000,1949,M12,3690
LNU03000000,1950,M01,4648
LNU03000000,1950,M02,4791
LNU03000000,1950,M03,4313
LNU03000000,1950,M04,3665
LNU03000000,1950,M05,3263
LNU03000000,1950,M06,3551
LNU03000000,1950,M07,3316
LNU03000000,1950,M08,2613
LNU03000000,1950,M09,2490
LNU03000000,1950,M10,2055
LNU03000000,1950,M11,2356
LNU03000000,1950,M12,2409
LNU03000000,1951,M01,2649
LNU03000000,1951,M02,2538
LNU03000000,1951,M03,2323
LNU03000000,1951,M04,1938
LNU03000000,1951,M05,1770
LNU03000000,1951,M06,2132
LNU03000000,1951,M07,2072
LNU03000000,1951,M08,1806
LNU03000000,1951,M09,1886
LNU03000000,1951,M10,1754
LNU03000000,1951,M11,1990
LNU03000000,1951,M12,1796
LNU03000000,1952,M01,2258
LNU03000000,1952,M02,2340
LNU03000000,1952,M03,2002
LNU03000000,1952,M04,1836
LNU03000000,1952,M05,1782
LNU03000000,1952,M06,2032
LNU03000000,1952,M07,2085
LNU03000000,1952,M08,1918
LNU03000000,1952,M09,1728
LNU03000000,1952,M10,1480
LNU03000000,1952,M11,1594
LNU03000000,1952,M12,1545
LNU03000000,1953,M01,2132
LNU03000000,1953,M02,1964
LNU03000000,1953,M03,1828
LNU03000000,1953,M04,1764
LNU03000000,1953,M05,1536
LNU03000000,1953,M06,1732
LNU03000000,1953,M07,1710
LNU03000000,1953,M08,1512
LNU03000000,1953,M09,1619
LNU03000000,1953,M10,1572
LNU03000000,1953,M11,2017
LNU03000000,1953,M12,2634
LNU03000000,1954,M01,3561
LNU03000000,1954,M02,3983
LNU03000000,1954,M03,4037
LNU03000000,1954,M04,3846
LNU03000000,1954,M05,3658
LNU03000000,1954,M06,3681
LNU03000000,1954,M07,3679
LNU03000000,1954,M08,3470
LNU03000000,1954,M09,3433
LNU03000000,1954,M10,2929
LNU03000000,1954,M11,3115
LNU03000000,1954,M12,3009
LNU03000000,1955,M01,3669
LNU03000000,1955,M02,3569
LNU03000000,1955,M03,3297
LNU03000000,1955,M04,3162
LNU03000000,1955,M05,2690
LNU03000000,1955,M06,2893
LNU03000000,1955,M07,2662
LNU03000000,1955,M08,2536
LNU03000000,1955,M09,2338
LNU03000000,1955,M10,2284
LNU03000000,1955,M11,2536
LNU03000000,1955,M12,2601
LNU03000000,1956,M01,3066
LNU03000000,1956,M02,3092
LNU03000000,1956,M03,3095
LNU03000000,1956,M04,2710
LNU03000000,1956,M05,2799
LNU03000000,1956,M06,3179
LNU03000000,1956,M07,2984
LNU03000000,1956,M08,2467
LNU03000000,1956,M09,2273
LNU03000000,1956,M10,2091
LNU03000000,1956,M11,2599
LNU03000000,1956,M12,2660
LNU03000000,1957,M01,3206
LNU03000000,1957,M02,3085
LNU03000000,1957,M03,2822
LNU03000000,1957,M04,2627
LNU03000000,1957,M05,2635
LNU03000000,1957,M06,3131
LNU03000000,1957,M07,2843
LNU03000000,1957,M08,2526
LNU03000000,1957,M09,2503
LNU03000000,1957,M10,2465
LNU03000000,1957,M11,3127
LNU03000000,1957,M12,3332
LNU03000000,1958,M01,4464
LNU03000000,1958,M02,5116
LNU03000000,1958,M03,5155
LNU03000000,1958,M04,5064
LNU03000000,1958,M05,4832
LNU03000000,1958,M06,5223
LNU03000000,1958,M07,5098
LNU03000000,1958,M08,4607
LNU03000000,1958,M09,4058
LNU03000000,1958,M10,3750
LNU03000000,1958,M11,3785
LNU03000000,1958,M12,4068
LNU03000000,1959,M01,4678
LNU03000000,1959,M02,4698
LNU03000000,1959,M03,4298
LNU03000000,1959,M04,3558
LNU03000000,1959,M05,3327
LNU03000000,1959,M06,3780
LNU03000000,1959,M07,3605
LNU03000000,1959,M08,3347
LNU03000000,1959,M09,3195
LNU03000000,1959,M10,3231
LNU03000000,1959,M11,3636
LNU03000000,1959,M12,3521
LNU03000000,1960,M01,4119
LNU03000000,1960,M02,3886
LNU03000000,1960,M03,4164
LNU03000000,1960,M04,3607
LNU03000000,1960,M05,3380
LNU03000000,1960,M06,4172
LNU03000000,1960,M07,3884
LNU03000000,1960,M08,3711
LNU03000000,1960,M09,3315
LNU03000000,1960,M10,3537
LNU03000000,1960,M11,3967
LNU03000000,1960,M12,4470
LNU03000000,1961,M01,5335
LNU03000000,1961,M02,5654
LNU03000000,1961,M03,5423
LNU03000000,1961,M04,4887
LNU03000000,1961,M05,4671
LNU03000000,1961,M06,5313
LNU03000000,1961,M07,4961
LNU03000000,1961,M08,4440
LNU03000000,1961,M09,4034
LNU03000000,1961,M10,3863
LNU03000000,1961,M11,3941
LNU03000000,1961,M12,4041
LNU03000000,1962,M01,4621
LNU03000000,1962,M02,4481
LNU03000000,1962,M03,4323
LNU03000000,1962,M04,3863
LNU03000000,1962,M05,3592
LNU03000000,1962,M06,4219
LNU03000000,1962,M07,3829
LNU03000000,1962,M08,3842
LNU03000000,1962,M09,3455
LNU03000000,1962,M10,3234
LNU03000000,1962,M11,3726
LNU03000000,1962,M12,3760
LNU03000000,1963,M01,4627
LNU03000000,1963,M02,4870
LNU03000000,1963,M03,4442
LNU03000000,1963,M04,3993
LNU03000000,1963,M05,3949
LNU03000000,1963,M06,4554
LNU03000000,1963,M07,4140
LNU03000000,1963,M08,3755
LNU03000000,1963,M09,3470
LNU03000000,1963,M10,3394
LNU03000000,1963,M11,3858
LNU03000000,1963,M12,3788
LNU03000000,1964,M01,4518
LNU03000000,1964,M02,4461
LNU03000000,1964,M03,4225
LNU03000000,1964,M04,3831
LNU03000000,1964,M05,3528
LNU03000000,1964,M06,4453
LNU03000000,1964,M07,3675
LNU03000000,1964,M08,3551
LNU03000000,1964,M09,3262
LNU03000000,1964,M10,3198
LNU03000000,1964,M11,3318
LNU03000000,1964,M12,3409
LNU03000000,1965,M01,3942
LNU03000000,1965,M02,4172
LNU03000000,1965,M03,3699
LNU03000000,1965,M04,3492
LNU03000000,1965,M05,3214
LNU03000000,1965,M06,4057
LNU03000000,1965,M07,3429
LNU03000000,1965,M08,3165
LNU03000000,1965,M09,2842
LNU03000000,1965,M10,2709
LNU03000000,1965,M11,2888
LNU03000000,1965,M12,2786
LNU03000000,1966,M01,3244
LNU03000000,1966,M02,3109
LNU03000000,1966,M03,2990
LNU03000000,1966,M04,2730
LNU03000000,1966,M05,2793
LNU03000000,1966,M06,3592
LNU03000000,1966,M07,3050
LNU03000000,1966,M08,2821
LNU03000000,1966,M09,2503
LNU03000000,1966,M10,2465
LNU03000000,1966,M11,2579
LNU03000000,1966,M12,2655
LNU03000000,1967,M01,3159
LNU03000000,1967,M02,3184
LNU03000000,1967,M03,2954
LNU03000000,1967,M04,2664
LNU03000000,1967,M05,2458
LNU03000000,1967,M06,3628
LNU03000000,1967,M07,3249
LNU03000000,1967,M08,2942
LNU03000000,1967,M09,2895
LNU03000000,1967,M10,2952
LNU03000000,1967,M11,2903
LNU03000000,1967,M12,2720
LNU03000000,1968,M01,3074
LNU03000000,1968,M02,3287
LNU03000000,1968,M03,2929
LNU03000000,1968,M04,2491
LNU03000000,1968,M05,2304
LNU03000000,1968,M06,3615
LNU03000000,1968,M07,3217
LNU03000000,1968,M08,2772
LNU03000000,1968,M09,2607
LNU03000000,1968,M10,2510
LNU03000000,1968,M11,2576
LNU03000000,1968,M12,2418
LNU03000000,1969,M01,2875
LNU03000000,1969,M02,2923
LNU03000000,1969,M03,2747
LNU03000000,1969,M04,2542
LNU03000000,1969,M05,2300
LNU03000000,1969,M06,3399
LNU03000000,1969,M07,3182
LNU03000000,1969,M08,2870
LNU03000000,1969,M09,2958
LNU03000000,1969,M10,2840
LNU03000000,1969,M11,2711
LNU03000000,1969,M12,2627
LNU03000000,1970,M01,3406
LNU03000000,1970,M02,3794
LNU03000000,1970,M03,3732
LNU03000000,1970,M04,3552
LNU03000000,1970,M05,3385
LNU03000000,1970,M06,4671
LNU03000000,1970,M07,4514
LNU03000000,1970,M08,4226
LNU03000000,1970,M09,4300
LNU03000000,1970,M10,4269
LNU03000000,1970,M11,4618
LNU03000000,1970,M12,4650
LNU03000000,1971,M01,5429
LNU03000000,1971,M02,5458
LNU03000000,1971,M03,5190
LNU03000000,1971,M04,4712
LNU03000000,1971,M05,4415
LNU03000000,1971,M06,5511
LNU03000000,1971,M07,5354
LNU03000000,1971,M08,5086
LNU03000000,1971,M09,4867
LNU03000000,1971,M10,4599
LNU03000000,1971,M11,4846
LNU03000000,1971,M12,4728
LNU03000000,1972,M01,5481
LNU03000000,1972,M02,5446
LNU03000000,1972,M03,5250
LNU03000000,1972,M04,4732
LNU03000000,1972,M05,4382
LNU03000000,1972,M06,5467
LNU03000000,1972,M07,5216
LNU03000000,1972,M08,4901
LNU03000000,1972,M09,4705
LNU03000000,1972,M10,4518
LNU03000000,1972,M11,4317
LNU03000000,1972,M12,4169
LNU03000000,1973,M01,4730
LNU03000000,1973,M02,4898
LNU03000000,1973,M03,4564
LNU03000000,1973,M04,4227
LNU03000000,1973,M05,3855
LNU03000000,1973,M06,4907
LNU03000000,1973,M07,4613
LNU03000000,1973,M08,4273
LNU03000000,1973,M09,4230
LNU03000000,1973,M10,3830
LNU03000000,1973,M11,4127
LNU03000000,1973,M12,4130
LNU03000000,1974,M01,5081
LNU03000000,1974,M02,5212
LNU03000000,1974,M03,4826
LNU03000000,1974,M04,4372
LNU03000000,1974,M05,4219
LNU03000000,1974,M06,5459
LNU03000000,1974,M07,5341
LNU03000000,1974,M08,4967
LNU03000000,1974,M09,5287
LNU03000000,1974,M10,5131
LNU03000000,1974,M11,5775
LNU03000000,1974,M12,6199
LNU03000000,1975,M01,8272
LNU03000000,1975,M02,8399
LNU03000000,1975,M03,8446
LNU03000000,1975,M04,7908
LNU03000000,1975,M05,7715
LNU03000000,1975,M06,8667
LNU03000000,1975,M07,8311
LNU03000000,1975,M08,7799
LNU03000000,1975,M09,7624
LNU03000000,1975,M10,7350
LNU03000000,1975,M11,7341
LNU03000000,1975,M12,7307
LNU03000000,1976,M01,8286
LNU03000000,1976,M02,8143
LNU03000000,1976,M03,7631
LNU03000000,1976,M04,6996
LNU03000000,1976,M05,6415
LNU03000000,1976,M06,7772
LNU03000000,1976,M07,7697
LNU03000000,1976,M08,7443
LNU03000000,1976,M09,7148
LNU03000000,1976,M10,6958
LNU03000000,1976,M11,7224
LNU03000000,1976,M12,7154
LNU03000000,1977,M01,7980
LNU03000000,1977,M02,8237
LNU03000000,1977,M03,7680
LNU03000000,1977,M04,6692
LNU03000000,1977,M05,6280
LNU03000000,1977,M06,7589
LNU03000000,1977,M07,7081
LNU03000000,1977,M08,6897
LNU03000000,1977,M09,6579
LNU03000000,1977,M10,6365
LNU03000000,1977,M11,6495
LNU03000000,1977,M12,6031
LNU03000000,1978,M01,7048
LNU03000000,1978,M02,6886
LNU03000000,1978,M03,6621
LNU03000000,1978,M04,5826
LNU03000000,1978,M05,5605
LNU03000000,1978,M06,6481
LNU03000000,1978,M07,6597
LNU03000000,1978,M08,6090
LNU03000000,1978,M09,5958
LNU03000000,1978,M10,5624
LNU03000000,1978,M11,5797
LNU03000000,1978,M12,5896
LNU03000000,1979,M01,6602
LNU03000000,1979,M02,6649
LNU03000000,1979,M03,6325
LNU03000000,1979,M04,5720
LNU03000000,1979,M05,5419
LNU03000000,1979,M06,6409
LNU03000000,1979,M07,6282
LNU03000000,1979,M08,6315
LNU03000000,1979,M09,5978
LNU03000000,1979,M10,5964
LNU03000000,1979,M11,5964
LNU03000000,1979,M12,6027
LNU03000000,1980,M01,7234
LNU03000000,1980,M02,7177
LNU03000000,1980,M03,6983
LNU03000000,1980,M04,7023
LNU03000000,1980,M05,7501
LNU03000000,1980,M06,8481
LNU03000000,1980,M07,8603
LNU03000000,1980,M08,8202
LNU03000000,1980,M09,7655
LNU03000000,1980,M10,7674
LNU03000000,1980,M11,7682
LNU03000000,1980,M12,7430
LNU03000000,1981,M01,8746
LNU03000000,1981,M02,8614
LNU03000000,1981,M03,8271
LNU03000000,1981,M04,7561
LNU03000000,1981,M05,7731
LNU03000000,1981,M06,8485
LNU03000000,1981,M07,8130
LNU03000000,1981,M08,7947
LNU03000000,1981,M09,7884
LNU03000000,1981,M10,8216
LNU03000000,1981,M11,8676
LNU03000000,1981,M12,9013
LNU03000000,1982,M01,10183
LNU03000000,1982,M02,10378
LNU03000000,1982,M03,10290
LNU03000000,1982,M04,9957
LNU03000000,1982,M05,9957
LNU03000000,1982,M06,10886
LNU03000000,1982,M07,11036
LNU03000000,1982,M08,10710
LNU03000000,1982,M09,10695
LNU03000000,1982,M10,10942
LNU03000000,1982,M11,11476
LNU03000000,1982,M12,11628
LNU03000000,1983,M01,12517
LNU03000000,1983,M02,12382
LNU03000000,1983,M03,11879
LNU03000000,1983,M04,11035
LNU03000000,1983,M05,10765
LNU03000000,1983,M06,11570
LNU03000000,1983,M07,10707
LNU03000000,1983,M08,10411
LNU03000000,1983,M09,9830
LNU03000000,1983,M10,9383
LNU03000000,1983,M11,9129
LNU03000000,1983,M12,8992
LNU03000000,1984,M01,9755
LNU03000000,1984,M02,9407
LNU03000000,1984,M03,9057
LNU03000000,1984,M04,8525
LNU03000000,1984,M05,8154
LNU03000000,1984,M06,8582
LNU03000000,1984,M07,8714
LNU03000000,1984,M08,8382
LNU03000000,1984,M09,8051
LNU03000000,1984,M10,7989
LNU03000000,1984,M11,7869
LNU03000000,1984,M12,7978
LNU03000000,1985,M01,9131
LNU03000000,1985,M02,8902
LNU03000000,1985,M03,8625
LNU03000000,1985,M04,8150
LNU03000000,1985,M05,8011
LNU03000000,1985,M06,8753
LNU03000000,1985,M07,8682
LNU03000000,1985,M08,8051
LNU03000000,1985,M09,7984
LNU03000000,1985,M10,7917
LNU03000000,1985,M11,7815
LNU03000000,1985,M12,7717
LNU03000000,1986,M01,8472
