,employment_level_in_thousands,Date,unemployment_level_in_thousands,us_spend_in_millions,mining_income_in_millions,hha_net_worth_in_millions,hha_net_worth/dpi,hha_total_assets_in_millions,hha_total_assets/dpi,downturn
239,75337,1967-12-01,2720,159260.66666666666,8431.333333333334,3218866.6666666665,520.5833333333334,3624135.0,586.1333333333333,0
240,73272,1968-01-01,3074,161395.0,8545.0,3226276.0,517.07,3628744.0,581.57,0
241,74114,1968-02-01,3287,162299.0,8724.666666666666,3272264.6666666665,519.7466666666667,3678970.6666666665,584.3466666666667,0
242,74517,1968-03-01,2929,163203.0,8904.333333333334,3318253.3333333335,522.4233333333334,3729197.3333333335,587.1233333333333,0
243,75143,1968-04-01,2491,164107.0,9084.0,3364242.0,525.1,3779424.0,589.9,0
244,75931,1968-05-01,2304,165345.66666666666,9106.666666666666,3384894.0,525.9333333333334,3802609.0,590.8366666666667,0
245,77273,1968-06-01,3615,166584.33333333334,9129.333333333334,3405546.0,526.7666666666667,3825794.0,591.7733333333333,0
246,77748,1968-07-01,3217,167823.0,9152.0,3426198.0,527.6,3848979.0,592.71,0
247,77431,1968-08-01,2772,169147.33333333334,9067.0,3482695.6666666665,532.8766666666667,3909931.0,598.2566666666667,0
248,75939,1968-09-01,2607,170471.66666666666,8982.0,3539193.3333333335,538.1533333333333,3970883.0,603.8033333333334,0
249,76365,1968-10-01,2510,171796.0,8897.0,3595691.0,543.43,4031835.0,609.35,0
250,76608,1968-11-01,2576,171924.0,8927.333333333334,3601453.3333333335,542.1033333333334,4037189.3333333335,607.6933333333334,0
251,76699,1968-12-01,2418,172052.0,8957.666666666666,3607215.6666666665,540.7766666666666,4042543.6666666665,606.0366666666666,0
252,75357,1969-01-01,2875,172180.0,8988.0,3612978.0,539.45,4047898.0,604.38,0
253,76180,1969-02-01,2923,173836.66666666666,9020.0,3615432.6666666665,535.82,4054156.6666666665,600.8266666666667,0
254,76520,1969-03-01,2747,175493.33333333334,9052.0,3617887.3333333335,532.1899999999999,4060415.3333333335,597.2733333333333,0
255,77077,1969-04-01,2542,177150.0,9084.0,3620342.0,528.56,4066674.0,593.72,0
256,77265,1969-05-01,2300,178968.66666666666,9153.666666666666,3627638.0,523.98,4075919.6666666665,588.7233333333334,0
257,78958,1969-06-01,3399,180787.33333333334,9223.333333333334,3634934.0,519.4,4085165.3333333335,583.7266666666667,0
258,79615,1969-07-01,3182,182606.0,9293.0,3642230.0,514.82,4094411.0,578.73,0
259,79646,1969-08-01,2870,183675.66666666666,9339.0,3648255.3333333335,512.4033333333334,4104302.6666666665,576.45,0
260,78026,1969-09-01,2958,184745.33333333334,9385.0,3654280.6666666665,509.9866666666667,4114194.3333333335,574.17,0
261,78671,1969-10-01,2840,185815.0,9431.0,3660306.0,507.57,4124086.0,571.89,0
262,78716,1969-11-01,2711,186836.0,9548.0,3669533.0,505.1433333333333,4130800.0,568.6533333333333,0
263,78789,1969-12-01,2627,187857.0,9665.0,3678760.0,502.7166666666667,4137514.0,565.4166666666666,1
264,77313,1970-01-01,3406,188878.0,9782.0,3687987.0,500.29,4144228.0,562.18,1
265,77489,1970-02-01,3794,189354.66666666666,9915.0,3666778.0,493.6433333333334,4125205.3333333335,555.35,1
266,77957,1970-03-01,3732,189831.33333333334,10048.0,3645569.0,486.99666666666667,4106182.6666666665,548.52,1
267,78408,1970-04-01,3552,190308.0,10181.0,3624360.0,480.35,4087160.0,541.69,1
268,78374,1970-05-01,3385,191653.0,10317.333333333334,3666988.3333333335,481.8233333333333,4132101.3333333335,542.9466666666667,1
269,79416,1970-06-01,4671,192998.0,10453.666666666666,3709616.6666666665,483.2966666666667,4177042.6666666665,544.2033333333334,1
270,80343,1970-07-01,4514,194343.0,10590.0,3752245.0,484.77,4221984.0,545.46,1
271,79965,1970-08-01,4226,195432.66666666666,10746.666666666666,3793359.0,488.34,4266098.666666667,549.2033333333334,1
272,78341,1970-09-01,4300,196522.33333333334,10903.333333333334,3834473.0,491.91,4310213.333333333,552.9466666666667,1
273,79019,1970-10-01,4269,197612.0,11060.0,3875587.0,495.48,4354328.0,556.69,1
274,78860,1970-11-01,4618,199693.33333333334,11052.666666666666,3929860.0,497.47333333333336,4409519.0,558.21,1
275,78651,1970-12-01,4650,201774.66666666666,11045.333333333334,3984133.0,499.46666666666664,4464710.0,559.73,0
276,77389,1971-01-01,5429,203856.0,11038.0,4038406.0,501.46,4519901.0,561.25,0
277,77427,1971-02-01,5458,205168.0,10950.333333333334,4063032.0,500.18666666666667,4549077.333333333,560.02,0
278,77675,1971-03-01,5190,206480.0,10862.666666666666,4087658.0,498.9133333333333,4578253.666666667,558.79,0
279,78404,1971-04-01,4712,207792.0,10775.0,4112284.0,497.64,4607430.0,557.56,0
280,78929,1971-05-01,4415,208731.66666666666,10801.666666666666,4132419.3333333335,497.57666666666665,4631813.666666667,557.7066666666666,0
281,79717,1971-06-01,5511,209671.33333333334,10828.333333333334,4152554.6666666665,497.5133333333333,4656197.333333333,557.8533333333334,0
282,80942,1971-07-01,5354,210611.0,10855.0,4172690.0,497.45,4680581.0,558.0,0
283,80897,1971-08-01,5086,211600.33333333334,10679.333333333334,4213255.666666667,499.2833333333333,4726545.0,560.11,0
284,79589,1971-09-01,4867,212589.66666666666,10503.666666666666,4253821.333333333,501.1166666666667,4772509.0,562.22,0
285,80375,1971-10-01,4599,213579.0,10328.0,4294387.0,502.95,4818473.0,564.33,0
286,80527,1971-11-01,4846,216463.66666666666,10811.333333333334,4347186.0,506.54333333333335,4873687.666666667,567.8966666666666,0
287,80527,1971-12-01,4728,219348.33333333334,11294.666666666666,4399985.0,510.13666666666666,4928902.333333333,571.4633333333334,0
288,79459,1972-01-01,5481,222233.0,11778.0,4452784.0,513.73,4984117.0,575.03,0
289,79734,1972-02-01,5446,223336.33333333334,11676.0,4474393.0,513.45,5012372.333333333,575.18,0
290,80578,1972-03-01,5250,224439.66666666666,11574.0,4496002.0,513.17,5040627.666666667,575.33,0
291,81027,1972-04-01,4732,225543.0,11472.0,4517611.0,512.89,5068883.0,575.48,0
292,81646,1972-05-01,4382,225396.0,11570.333333333334,4559387.333333333,512.7766666666666,5115810.0,575.36,0
293,83073,1972-06-01,5467,225249.0,11668.666666666666,4601163.666666667,512.6633333333333,5162737.0,575.24,0
294,83911,1972-07-01,5216,225102.0,11767.0,4642940.0,512.55,5209664.0,575.12,0
295,83993,1972-08-01,4901,226439.66666666666,11927.666666666666,4725208.333333333,513.2966666666666,5298165.333333333,575.5533333333333,0
296,82537,1972-09-01,4705,227777.33333333334,12088.333333333334,4807476.666666667,514.0433333333333,5386666.666666667,575.9866666666667,0
297,83223,1972-10-01,4518,229115.0,12249.0,4889745.0,514.79,5475168.0,576.42,0
298,83231,1972-11-01,4317,230541.66666666666,12437.333333333334,4898016.0,512.31,5487480.0,573.9566666666666,0
299,83424,1972-12-01,4169,231968.33333333334,12625.666666666666,4906287.0,509.83,5499792.0,571.4933333333333,0
300,81598,1973-01-01,4730,233395.0,12814.0,4914558.0,507.35,5512104.0,569.03,0
301,82405,1973-02-01,4898,234654.33333333334,12967.0,4927700.666666667,504.08333333333337,5531549.666666667,565.84,0
302,83397,1973-03-01,4564,235913.66666666666,13120.0,4940843.333333333,500.81666666666666,5550995.333333333,562.65,0
303,83900,1973-04-01,4227,237173.0,13273.0,4953986.0,497.55,5570441.0,559.46,0
304,84383,1973-05-01,3855,237964.66666666666,13672.333333333334,5014908.333333333,499.82666666666665,5637728.0,561.9,0
305,86217,1973-06-01,4907,238756.33333333334,14071.666666666666,5075830.666666667,502.10333333333335,5705015.0,564.34,0
306,87042,1973-07-01,4613,239548.0,14471.0,5136753.0,504.38,5772302.0,566.78,0
307,86616,1973-08-01,4273,241827.0,14903.666666666666,5124835.666666667,498.0833333333333,5765856.0,560.3666666666667,0
308,85552,1973-09-01,4230,244106.0,15336.333333333334,5112918.333333333,491.7866666666667,5759410.0,553.9533333333333,0
309,86717,1973-10-01,3830,246385.0,15769.0,5101001.0,485.49,5752964.0,547.54,0
310,86562,1973-11-01,4127,248799.0,16480.333333333332,5111056.666666667,484.4066666666667,5764436.666666667,546.3299999999999,1
311,86390,1973-12-01,4130,251213.0,17191.666666666668,5121112.333333333,483.3233333333333,5775909.333333333,545.12,1
312,84843,1974-01-01,5081,253627.0,17903.0,5131168.0,482.24,5787382.0,543.91,1
313,85061,1974-02-01,5212,255391.66666666666,18735.0,5125430.666666667,478.75,5788575.666666667,540.6833333333333,1
314,85659,1974-03-01,4826,257156.33333333334,19567.0,5119693.333333333,475.26,5789769.333333333,537.4566666666667,1
315,85994,1974-04-01,4372,258921.0,20399.0,5113956.0,471.77,5790963.0,534.23,1
316,86611,1974-05-01,4219,262118.33333333334,21060.666666666668,5100707.666666667,466.32,5783854.666666667,528.7633333333333,1
317,88022,1974-06-01,5459,265315.6666666667,21722.333333333332,5087459.333333333,460.87,5776746.333333333,523.2966666666667,1
318,88897,1974-07-01,5341,268513.0,22384.0,5074211.0,455.42,5769638.0,517.83,1
319,88479,1974-08-01,4967,272261.3333333333,22363.333333333332,5120481.333333333,455.92333333333335,5820305.333333333,518.2366666666667,1
320,87162,1974-09-01,5287,276009.6666666667,22342.666666666668,5166751.666666667,456.4266666666667,5870972.666666667,518.6433333333333,1
321,87779,1974-10-01,5131,279758.0,22322.0,5213022.0,456.93,5921640.0,519.05,1
322,86863,1974-11-01,5775,282204.6666666667,23193.666666666668,5297335.666666667,461.63,6005728.333333333,523.3766666666667,1
323,86169,1974-12-01,6199,284651.3333333333,24065.333333333332,5381649.333333333,466.33,6089816.666666667,527.7033333333333,1
324,83928,1975-01-01,8272,287098.0,24937.0,5465963.0,471.03,6173905.0,532.03,1
325,83573,1975-02-01,8399,289479.3333333333,24798.666666666668,5543643.0,468.6033333333333,6256261.666666667,528.8533333333334,1
326,84018,1975-03-01,8446,291860.6666666667,24660.333333333332,5621323.0,466.1766666666667,6338618.333333333,525.6766666666666,1
327,84551,1975-04-01,7908,294242.0,24522.0,5699003.0,463.75,6420975.0,522.5,0
328,85173,1975-05-01,7715,296117.3333333333,24573.0,5697604.666666667,463.04,6426271.666666667,522.26,0
329,86507,1975-06-01,8667,297992.6666666667,24624.0,5696206.333333333,462.33,6431568.333333333,522.02,0
330,87742,1975-07-01,8311,299868.0,24675.0,5694808.0,461.62,6436865.0,521.78,0
331,87726,1975-08-01,7799,301809.0,24928.333333333332,5750678.666666667,462.32666666666665,6500642.0,522.6233333333333,0
332,86399,1975-09-01,7624,303750.0,25181.666666666668,5806549.333333333,463.03333333333336,6564419.0,523.4666666666666,0
333,87160,1975-10-01,7350,305691.0,25435.0,5862420.0,463.74,6628196.0,524.31,0
334,86700,1975-11-01,7341,306590.3333333333,25662.333333333332,5928911.0,465.36,6697864.0,525.7199999999999,0
335,86689,1975-12-01,7307,307489.6666666667,25889.666666666668,5995402.0,466.98,6767532.0,527.13,0
336,85652,1976-01-01,8286,308389.0,26117.0,6061893.0,468.6,6837200.0,528.54,0
337,85932,1976-02-01,8143,309597.0,25844.333333333332,6120854.666666667,470.9166666666667,6905079.0,531.2566666666667,0
338,86769,1976-03-01,7631,310805.0,25571.666666666668,6179816.333333333,473.23333333333335,6972958.0,533.9733333333334,0
339,87786,1976-04-01,6996,312013.0,25299.0,6238778.0,475.55,7040837.0,536.69,0
340,88510,1976-05-01,6415,312943.3333333333,25542.666666666668,6277450.666666667,474.8466666666667,7087896.333333333,536.1500000000001,0
341,89727,1976-06-01,7772,313873.6666666667,25786.333333333332,6316123.333333333,474.1433333333333,7134955.666666667,535.61,0
342,90908,1976-07-01,7697,314804.0,26030.0,6354796.0,473.44,7182015.0,535.07,0
343,90690,1976-08-01,7443,317477.6666666667,26487.0,6411065.0,474.10333333333335,7247662.0,535.97,0
344,89281,1976-09-01,7148,320151.3333333333,26944.0,6467334.0,474.76666666666665,7313309.0,536.87,0
345,90041,1976-10-01,6958,322825.0,27401.0,6523603.0,475.43,7378956.0,537.77,0
346,89892,1976-11-01,7224,325148.0,28028.333333333332,6559704.0,474.85333333333335,7420650.333333333,537.18,0
347,89850,1976-12-01,7154,327471.0,28655.666666666668,6595805.0,474.27666666666664,7462344.666666667,536.59,0
348,88217,1977-01-01,7980,329794.0,29283.0,6631906.0,473.7,7504039.0,536.0,0
349,88601,1977-02-01,8237,332244.3333333333,30339.666666666668,6691620.0,473.75666666666666,7576664.0,536.4133333333333,0
350,89597,1977-03-01,7680,334694.6666666667,31396.333333333332,6751334.0,473.81333333333333,7649289.0,536.8266666666667,0
351,90660,1977-04-01,6692,337145.0,32453.0,6811048.0,473.87,7721914.0,537.24,0
352,91475,1977-05-01,6280,339558.6666666667,32592.0,6857829.666666667,472.56,7781423.666666667,536.1933333333334,0
353,93154,1977-06-01,7589,341972.3333333333,32731.0,6904611.333333333,471.25,7840933.333333333,535.1466666666666,0
354,93879,1977-07-01,7081,344386.0,32870.0,6951393.0,469.94,7900443.0,534.1,0
355,93846,1977-08-01,6897,347374.6666666667,32674.0,7004344.666666667,468.31333333333333,7966006.333333333,532.6033333333334,0
356,92788,1977-09-01,6579,350363.3333333333,32478.0,7057296.333333333,466.68666666666667,8031569.666666667,531.1066666666667,0
357,93779,1977-10-01,6365,353352.0,32282.0,7110248.0,465.06,8097133.0,529.61,0
358,94027,1977-11-01,6495,355263.0,31365.666666666668,7168065.666666667,465.07,8162587.666666667,529.5966666666667,0
359,94183,1977-12-01,6031,357174.0,30449.333333333332,7225883.333333333,465.08,8228042.333333333,529.5833333333334,0
360,92616,1978-01-01,7048,359085.0,29533.0,7283701.0,465.09,8293497.0,529.57,0
361,92755,1978-02-01,6886,361835.6666666667,31709.666666666668,7366372.666666667,465.5,8392955.666666666,530.3666666666667,0
362,93545,1978-03-01,6621,364586.3333333333,33886.333333333336,7449044.333333333,465.90999999999997,8492414.333333334,531.1633333333334,0
363,94783,1978-04-01,5826,367337.0,36063.0,7531716.0,466.32,8591873.0,531.96,0
364,95486,1978-05-01,5605,369740.3333333333,35961.0,7613959.666666667,467.42333333333335,8689973.333333334,533.4733333333334,0
365,97530,1978-06-01,6481,372143.6666666667,35859.0,7696203.333333333,468.52666666666664,8788073.666666666,534.9866666666667,0
366,97917,1978-07-01,6597,374547.0,35757.0,7778447.0,469.63,8886174.0,536.5,0
367,97855,1978-08-01,6090,377067.6666666667,36648.666666666664,7838956.0,469.28,8960858.0,536.43,0
368,96790,1978-09-01,5958,379588.3333333333,37540.333333333336,7899465.0,468.93,9035542.0,536.36,0
369,97851,1978-10-01,5624,382109.0,38432.0,7959974.0,468.58,9110226.0,536.29,0
370,97788,1978-11-01,5797,385436.6666666667,37937.666666666664,8063797.333333333,469.7966666666667,9223231.0,537.3533333333334,0
371,97669,1978-12-01,5896,388764.3333333333,37443.333333333336,8167620.666666667,471.0133333333333,9336236.0,538.4166666666666,0
372,96201,1979-01-01,6602,392092.0,36949.0,8271444.0,472.23,9449241.0,539.48,0
373,96536,1979-02-01,6649,394588.6666666667,38097.666666666664,8362522.666666667,474.5466666666667,9556171.666666666,542.2833333333333,0
374,97282,1979-03-01,6325,397085.3333333333,39246.333333333336,8453601.333333334,476.86333333333334,9663102.333333334,545.0866666666667,0
375,97478,1979-04-01,5720,399582.0,40395.0,8544680.0,479.18,9770033.0,547.89,0
376,98057,1979-05-01,5419,402296.6666666667,41835.666666666664,8638842.666666666,479.71,9880998.0,548.6766666666666,0
377,99800,1979-06-01,6409,405011.3333333333,43276.333333333336,8733005.333333334,480.24,9991963.0,549.4633333333334,0
378,100814,1979-07-01,6282,407726.0,44717.0,8827168.0,480.77,10102928.0,550.25,0
379,100174,1979-08-01,6315,411624.3333333333,45644.0,8920146.333333334,481.5933333333333,10211062.333333334,551.2866666666666,0
380,99533,1979-09-01,5978,415522.6666666667,46571.0,9013124.666666666,482.4166666666667,10319196.666666666,552.3233333333334,0
381,100120,1979-10-01,5964,419421.0,47498.0,9106103.0,483.24,10427331.0,553.36,0
382,99907,1979-11-01,5964,423970.6666666667,49428.333333333336,9170587.666666666,481.26,10501487.333333334,551.1066666666667,0
383,100013,1979-12-01,6027,428520.3333333333,51358.666666666664,9235072.333333334,479.28000000000003,10575643.666666666,548.8533333333334,0
384,98111,1980-01-01,7234,433070.0,53289.0,9299557.0,477.3,10649800.0,546.6,1
385,98235,1980-02-01,7177,439998.3333333333,55678.333333333336,9415006.0,480.7033333333333,10771332.666666666,549.96,1
386,98527,1980-03-01,6983,446926.6666666667,58067.666666666664,9530455.0,484.1066666666667,10892865.333333334,553.3199999999999,1
387,98569,1980-04-01,7023,453855.0,60457.0,9645904.0,487.51,11014398.0,556.68,1
388,98732,1980-05-01,7501,455169.3333333333,62703.666666666664,9777384.0,488.5,11157878.333333334,557.4833333333333,1
389,99830,1980-06-01,8481,456483.6666666667,64950.333333333336,9908864.0,489.49,11301358.666666666,558.2866666666666,1
390,100665,1980-07-01,8603,457798.0,67197.0,10040344.0,490.48,11444839.0,559.09,1
391,100202,1980-08-01,8202,461824.0,70323.66666666667,10148822.333333334,489.5266666666667,11567468.0,557.9566666666667,0
392,99334,1980-09-01,7655,465850.0,73450.33333333333,10257300.666666666,488.5733333333333,11690097.0,556.8233333333334,0
393,99999,1980-10-01,7674,469876.0,76577.0,10365779.0,487.62,11812726.0,555.69,0
394,99850,1980-11-01,7682,475566.6666666667,78963.66666666667,10430897.0,486.78333333333336,11880926.0,554.46,0
395,99579,1980-12-01,7430,481257.3333333333,81350.33333333333,10496015.0,485.94666666666666,11949126.0,553.23,0
396,98139,1981-01-01,8746,486948.0,83737.0,10561133.0,485.11,12017326.0,552.0,0
397,98401,1981-02-01,8614,492434.6666666667,84249.33333333333,10656971.666666666,486.6333333333333,12125632.0,553.6966666666667,0
398,99364,1981-03-01,8271,497921.3333333333,84761.66666666667,10752810.333333334,488.1566666666667,12233938.0,555.3933333333333,0
399,100345,1981-04-01,7561,503408.0,85274.0,10848649.0,489.68,12342244.0,557.09,0
400,100855,1981-05-01,7731,506294.6666666667,87816.66666666667,10883514.0,485.18666666666667,12387439.0,552.2233333333334,0
401,101419,1981-06-01,8485,509181.3333333333,90359.33333333333,10918379.0,480.6933333333333,12432634.0,547.3566666666667,0
402,102612,1981-07-01,8130,512068.0,92902.0,10953244.0,476.2,12477829.0,542.49,1
403,102152,1981-08-01,7947,516625.6666666667,92981.33333333333,11057324.666666666,478.15,12592403.0,544.5366666666666,1
404,100389,1981-09-01,7884,521183.3333333333,93060.66666666667,11161405.333333334,480.1,12706977.0,546.5833333333334,1
405,101028,1981-10-01,8216,525741.0,93140.0,11265486.0,482.05,12821551.0,548.63,1
406,100502,1981-11-01,8676,529784.0,91554.33333333333,11311968.666666666,481.62666666666667,12869390.666666666,547.9366666666666,1
407,99562,1981-12-01,9013,533827.0,89968.66666666667,11358451.333333334,481.2033333333333,12917230.333333334,547.2433333333333,1
408,97831,1982-01-01,10183,537870.0,88383.0,11404934.0,480.78,12965070.0,546.55,1
409,97946,1982-02-01,10378,540815.3333333334,87135.66666666667,11450708.666666666,480.1766666666667,13018916.0,545.9399999999999,1
410,98471,1982-03-01,10290,543760.6666666666,85888.33333333333,11496483.333333334,479.5733333333333,13072762.0,545.33,1
411,98858,1982-04-01,9957,546706.0,84641.0,11542258.0,478.97,13126608.0,544.72,1
412,99957,1982-05-01,9957,551118.3333333334,82059.0,11615892.333333334,478.68333333333334,13203567.333333334,544.1166666666667,1
413,100683,1982-06-01,10886,555530.6666666666,79477.0,11689526.666666666,478.3966666666667,13280526.666666666,543.5133333333333,1
414,101490,1982-07-01,11036,559943.0,76895.0,11763161.0,478.11,13357486.0,542.91,1
415,101177,1982-08-01,10710,564495.0,74880.33333333333,11872353.333333334,480.17333333333335,13478246.666666666,545.1233333333333,1
416,99851,1982-09-01,10695,569047.0,72865.66666666667,11981545.666666666,482.2366666666667,13599007.333333334,547.3366666666666,1
417,99825,1982-10-01,10942,573599.0,70851.0,12090738.0,484.3,13719768.0,549.55,1
418,99379,1982-11-01,11476,576778.6666666666,69145.0,12203684.666666666,485.84000000000003,13830445.333333334,550.61,1
419,98849,1982-12-01,11628,579958.3333333334,67439.0,12316631.333333334,487.38,13941122.666666666,551.67,0
420,97262,1983-01-01,12517,583138.0,65733.0,12429578.0,488.92,14051800.0,552.73,0
421,97265,1983-02-01,12382,586761.6666666666,64833.0,12529433.0,490.16333333333336,14168690.0,554.29,0
422,97994,1983-03-01,11879,590385.3333333334,63933.0,12629288.0,491.40666666666664,14285580.0,555.85,0
423,98840,1983-04-01,11035,594009.0,63033.0,12729143.0,492.65,14402470.0,557.41,0
424,99543,1983-05-01,10765,598581.0,62818.333333333336,12782852.666666666,490.1633333333333,14475453.0,555.0566666666666,0
425,101813,1983-06-01,11570,603153.0,62603.666666666664,12836562.333333334,487.6766666666667,14548436.0,552.7033333333334,0
426,103273,1983-07-01,10707,607725.0,62389.0,12890272.0,485.19,14621419.0,550.35,0
427,103167,1983-08-01,10411,604050.0,62672.333333333336,12923867.0,481.93666666666667,14675883.333333334,547.26,0
428,102366,1983-09-01,9830,600375.0,62955.666666666664,12957462.0,478.68333333333334,14730347.666666666,544.1700000000001,0
429,102659,1983-10-01,9383,596700.0,63239.0,12991057.0,475.43,14784812.0,541.08,0
430,103018,1983-11-01,9129,601103.6666666666,64096.333333333336,13071030.0,473.62333333333333,14875579.0,539.0133333333333,0
431,102803,1983-12-01,8992,605507.3333333334,64953.666666666664,13151003.0,471.81666666666666,14966346.0,536.9466666666667,0
432,101270,1984-01-01,9755,609911.0,65811.0,13230976.0,470.01,15057113.0,534.88,0
433,101961,1984-02-01,9407,616494.3333333334,66848.66666666667,13307462.0,468.69,15155270.0,533.7633333333333,0
434,102770,1984-03-01,9057,623077.6666666666,67886.33333333333,13383948.0,467.37,15253427.0,532.6466666666666,0
435,103628,1984-04-01,8525,629661.0,68924.0,13460434.0,466.05,15351584.0,531.53,0
436,105096,1984-05-01,8154,633762.6666666666,68403.66666666667,13570706.666666666,466.61,15480437.333333334,532.2733333333333,0
437,106812,1984-06-01,8582,637864.3333333334,67883.33333333333,13680979.333333334,467.17,15609290.666666666,533.0166666666667,0
438,107484,1984-07-01,8714,641966.0,67363.0,13791252.0,467.73,15738144.0,533.76,0
439,106694,1984-08-01,8382,647101.6666666666,66563.66666666667,13885778.333333334,468.66333333333336,15855032.0,535.1266666666667,0
440,105792,1984-09-01,8051,652237.3333333334,65764.33333333333,13980304.666666666,469.59666666666664,15971920.0,536.4933333333333,0
441,106262,1984-10-01,7989,657373.0,64965.0,14074831.0,470.53,16088808.0,537.86,0
442,106246,1984-11-01,7869,660687.6666666666,64196.666666666664,14208147.666666666,473.49333333333334,16246872.666666666,541.4366666666667,0
443,106049,1984-12-01,7978,664002.3333333334,63428.333333333336,14341464.333333334,476.45666666666665,16404937.333333334,545.0133333333333,0
444,104344,1985-01-01,9131,667317.0,62660.0,14474781.0,479.42,16563002.0,548.59,0
445,104690,1985-02-01,8902,672255.3333333334,61360.0,14587512.0,478.6666666666667,16700932.0,548.0133333333333,0
446,105768,1985-03-01,8625,677193.6666666666,60060.0,14700243.0,477.91333333333336,16838862.0,547.4366666666667,0
447,106175,1985-04-01,8150,682132.0,58760.0,14812974.0,477.16,16976792.0,546.86,0
448,106880,1985-05-01,8011,688457.0,57968.0,14882012.0,478.57,17076501.666666668,549.1366666666667,0
449,107819,1985-06-01,8753,694782.0,57176.0,14951050.0,479.98,17176211.333333332,551.4133333333334,0
450,108854,1985-07-01,8682,701107.0,56384.0,15020088.0,481.39,17275921.0,553.69,0
451,108628,1985-08-01,8051,704739.3333333334,55311.333333333336,15187307.666666666,483.8066666666667,17480966.333333332,556.87,0
452,107867,1985-09-01,7984,708371.6666666666,54238.666666666664,15354527.333333334,486.2233333333333,17686011.666666668,560.0500000000001,0
453,108428,1985-10-01,7917,712004.0,53166.0,15521747.0,488.64,17891057.0,563.23,0
454,108282,1985-11-01,7815,713938.0,51575.333333333336,15686909.666666666,490.42333333333335,18064252.333333332,564.7566666666667,0
455,108063,1985-12-01,7717,715872.0,49984.666666666664,15852072.333333334,492.20666666666665,18237447.666666668,566.2833333333333,0
456,106959,1986-01-01,8472,717806.0,48394.0,16017235.0,493.99,18410643.0,567.81,0
457,106685,1986-02-01,9041,722896.0,46764.0,16143666.666666666,495.97333333333336,18558976.666666668,570.18,0
458,107643,1986-03-01,8667,727986.0,45134.0,16270098.333333334,497.95666666666665,18707310.333333332,572.55,0
459,108201,1986-04-01,8115,733076.0,43504.0,16396530.0,499.94,18855644.0,574.92,0
460,109041,1986-05-01,8158,738025.0,42567.666666666664,16458237.333333334,500.00333333333333,18946183.333333332,575.5833333333333,0
461,110869,1986-06-01,8775,742974.0,41631.333333333336,16519944.666666666,500.06666666666666,19036722.666666668,576.2466666666667,0
462,111832,1986-07-01,8471,747923.0,40695.0,16581652.0,500.13,19127262.0,576.91,0
463,111515,1986-08-01,7955,749665.6666666666,39004.0,16771829.666666666,504.8066666666667,19346491.666666668,582.3,0
464,110229,1986-09-01,8015,751408.3333333334,37313.0,16962007.333333332,509.4833333333333,19565721.333333332,587.69,0
465,110857,1986-10-01,7842,753151.0,35622.0,17152185.0,514.16,19784951.0,593.08,0
